municipio,quarter,pib_mun,total_pixeles_median,suma_rad_trend_sum,suma_rad_trend_mean,suma_rad_trend_std,suma_rad_trend_median,media_rad_trend_mean,std_rad_trend_mean,max_rad_trend_max,min_rad_trend_min,p25_rad_trend_mean,mediana_rad_trend_mean,p75_rad_trend_mean
milpa alta,2020Q3,35895.01065320916,1373.0,6191115.306849316,84809.79872396323,706.0619252374266,84834.36986301371,61.769700454452455,77.3037424159584,573.87397260274,12.252117808219174,24.27757553011822,31.52099831112779,55.91927190842559
milpa alta,2020Q4,36935.9003164023,1373.0,5662294.068493151,82062.23287671234,1140.3691365310883,82305.14520547945,59.768559997605486,73.01097095027032,556.172602739726,12.28773424657534,23.763351201111774,30.925630335517173,55.76219972205677
milpa alta,2021Q1,37984.708901685786,1373.0,6139041.320547945,80776.85948089401,824.7620600174246,80738.66575342466,58.832381267949025,69.21378211042403,516.5671232876712,13.06306301369863,24.477108868060565,31.5569935111752,55.66770007209806
milpa alta,2021Q2,38047.06445549346,1373.0,5432433.556164384,83575.90086406744,1399.895539195534,83392.37808219178,60.8710130109741,76.27318735300474,573.3863013698631,13.27950684931507,24.115237091675446,30.832708113804006,54.772096944151734
milpa alta,2021Q3,37987.19584022448,1373.0,6315028.030136986,85338.21662347278,471.6562257926993,85397.26301369863,62.15456418315571,81.0500611957616,596.8849315068493,13.197306849315064,23.512661977045543,30.129618659755653,54.557534246575344
milpa alta,2021Q4,38106.7612808346,1373.0,5642949.178082191,84223.12206092823,401.96107565354527,84331.07671232874,61.34240499703441,75.7944885744027,582.849315068493,13.706890410958906,24.488734410141078,31.263340830096098,56.20016356573297
milpa alta,2022Q1,38486.18761895736,1373.0,6338650.536986301,85657.43968900407,1136.116727725104,85617.30273972602,62.387064595050305,70.67810183324737,527.3589041095892,15.490438356164384,27.630359126249537,34.8829692706405,58.946908552388
milpa alta,2022Q2,39136.6235669931,1373.0,5859275.808219179,87451.87773461461,860.3147606820538,87245.49315068495,63.6940114600252,77.56117076186716,594.3287671232878,14.975361643835615,26.42052749948886,33.385647106931096,57.76299325291351
milpa alta,2022Q3,39735.608431640765,1373.0,5744433.534246576,87036.87173100872,678.21624644018,87065.3890410959,63.39174925783592,82.47956191515418,600.7013698630135,14.265758904109587,24.133665421336655,30.568576172685766,55.79908675799087
milpa alta,2023Q1,40797.74033841114,1373.0,6438330.9479452055,85844.4126392694,766.7845373296872,85920.81643835615,62.52324300019621,72.39256545314967,534.4383561643833,15.112331506849317,26.94977168949772,33.85347945205479,58.87510502283105
milpa alta,2023Q2,41134.401284914085,1373.0,5298796.106849315,86865.50994834943,1124.697243970331,86814.67671232879,63.26694096747955,77.38129254222946,587.5835616438358,14.443838356164386,25.612216483269705,32.517044688973726,58.08695261621379
milpa alta,2023Q4,41134.401284914085,1373.0,7133145.445205479,90292.98031905669,337.59907563025627,90282.76301369864,65.76327772691677,79.30546077893975,600.4109589041095,15.295893150684936,26.838616264955782,33.95505462112017,60.69627189179816
alvaro obregon,2012Q1,206832.79972010208,380.0,6443354.756164385,96169.47397260276,0.0,96169.47397260276,253.07756308579673,162.1529187656627,769.8000000000003,22.619178082191784,75.68013698630135,266.1726027397259,361.813698630137
alvaro obregon,2012Q2,207914.14923497563,380.0,8174405.287671234,96169.47397260276,0.0,96169.47397260276,253.0775630857967,162.1529187656627,769.8000000000003,22.619178082191784,75.68013698630135,266.1726027397259,361.813698630137
alvaro obregon,2012Q3,209158.79739744286,380.0,7433041.057534248,96533.00074719802,470.1225393245375,96169.47397260276,254.03421249262635,163.23939879450768,787.8191780821917,21.076712328767126,75.02792207792206,267.44911937377685,363.5116705212596
alvaro obregon,2012Q4,209976.44894052108,380.0,7131922.191780822,95092.29589041097,1072.0340775675431,95277.39452054792,250.2428839221341,159.42379279489896,778.4164383561643,21.55068493150685,74.27500456621004,264.5672511415525,357.2509863013699
