municipio,quarter,fecha,total_pixeles_median,suma_rad_trend_sum,suma_rad_trend_mean,suma_rad_trend_std,suma_rad_trend_median,media_rad_trend_mean,std_rad_trend_mean,max_rad_trend_max,min_rad_trend_min,p25_rad_trend_mean,mediana_rad_trend_mean,p75_rad_trend_mean,entidad_federativa,porc_pob,pibe,pib_mun
oaxaca de juarez,2021Q2,2021-06-30,159.0,4648126.636071718,51078.31468210679,201.59603200299026,51109.47019244259,321.24726215161473,128.75676836574868,774.7116033831999,74.12726876498873,238.70739322878777,301.60827903673163,382.45542326938175,OAX,0.06557243351,"239,537.4",15998.614778264535
oaxaca de juarez,2021Q3,2021-09-30,159.0,4556940.885019432,50076.273461752,360.0433706483265,50082.512640938556,314.94511611164745,129.18805454836757,773.7019600360361,73.51299865189128,230.59950704546742,292.30183867233796,377.9386859858396,OAX,0.06557243351,"242,335.7",16114.07307177512
oaxaca de juarez,2021Q4,2021-12-31,159.0,4499457.327394667,48907.144862985515,294.68783260564635,48886.229814746504,307.5921060565123,128.888894332999,771.9220172936325,73.37204777673959,222.43662597520964,283.106297871343,371.4691531777092,OAX,0.06557243351,"246,140.7",16231.203830285453
oaxaca de juarez,2022Q1,2022-03-31,159.0,4338039.346202752,48200.437180030574,113.84646344258826,48174.25273499564,303.147403647991,127.68876246851717,763.2801761460229,73.52468752111487,217.74504176115047,277.76692171268957,367.78560060000893,OAX,0.06557243351,"255,784.1",16332.830530680403
oaxaca de juarez,2022Q2,2022-06-30,159.0,4325679.473190094,48063.10525766772,25.410495678152273,48051.91015690641,302.2836808658346,126.96077074292502,752.0869131075509,74.6098364751725,216.37170463223066,276.82877683064794,368.0836803785603,OAX,0.06557243351,"245,286.5",16453.08606464366
oaxaca de juarez,2022Q3,2022-09-30,159.0,3718819.026386765,48296.35099203591,110.28129308196735,48284.032844070614,303.750635170037,126.9321807175492,743.822506284823,75.76662270124284,216.60641398898971,278.2471415378643,370.421898388232,OAX,0.06557243351,"249,732.7",16605.717906828093
oaxaca de juarez,2022Q4,2022-12-31,159.0,4495007.045054608,48858.77222885443,207.79153559172576,48857.92384554955,307.2878756531724,127.57153521525125,739.0793761942533,76.7389229335501,218.41831576484626,281.30175009096826,374.51169628283196,OAX,0.06557243351,"257,964.0",16738.81191146922
oaxaca de juarez,2023Q1,2023-03-31,159.0,4450429.055981258,49449.211733125085,121.51137854356563,49463.796124072374,311.0013316548748,128.8793453842087,743.8083594681166,77.99898667617964,220.90552828982638,284.59690011913045,378.52668063118676,OAX,0.06557243351,"265,353.4",16889.198605181373
oaxaca de juarez,2023Q2,2023-06-30,159.0,4532042.387188247,49802.66359547525,107.68509700634874,49793.56481072827,313.2242993426116,129.49410738771604,744.1274633243511,78.87694607419478,223.0192822155747,287.6176300117707,380.85773212261137,OAX,0.06557243351,"250,268.3",17048.764747510006
oaxaca de juarez,2023Q3,2023-09-30,159.0,4523177.347905695,50257.52608784106,146.55431181877861,50257.94054620363,316.0850697348495,129.39252767739146,743.1273345141312,79.8765760134991,225.90384054945955,291.94932375656884,384.0657694605177,OAX,0.06557243351,"259,250.8",17208.71213653079
oaxaca de juarez,2023Q4,2023-12-31,159.0,4618826.070768751,50756.33044800825,149.36005214367304,50750.426257882995,319.2222040755238,129.19554202637886,740.3526718779909,81.40324891541844,228.89842507506967,296.70792818321564,388.16496837780596,OAX,0.06557243351,"269,268.2",17372.255895807397
