fecha,municipio,entidad_federativa,porc_pob,pibe,pib_mun,year_pib,total_pixeles,suma_rad_trend,media_rad_trend,std_rad_trend,max_rad_trend,min_rad_trend,p25_rad_trend,mediana_rad_trend,p75_rad_trend,year_radianza
2013-09-30,xochimilco,CDMX,0.04606222339,2668439.8,120753.66918647985,2013,492,92430.10136986301,187.86605969484353,111.37418885242771,548.9945205479452,31.504109589041093,88.11301369863011,168.6095890410959,271.9102739726027,2013
2013-12-31,xochimilco,CDMX,0.04606222339,2626906.9,121320.85176797028,2013,492,85665.73698630139,174.11735159817357,97.83358834473012,481.8109589041096,32.224657534246575,87.61095890410961,156.69178082191783,246.74109589041097,2013
2014-06-30,xochimilco,CDMX,0.04606222339,2503000.3,121887.10677143719,2014,492,94099.93424657531,191.260028956454,116.66829134564358,567.4849315068494,30.695890410958906,88.6445205479452,167.40000000000003,274.6287671232876,2014
2014-09-30,xochimilco,CDMX,0.04606222339,2686402.8,122812.03333821944,2014,492,96279.28219178083,195.68959795077402,119.07695894174542,580.7205479452053,32.421917808219185,91.93356164383563,169.93835616438355,279.90205479452055,2014
2014-12-31,xochimilco,CDMX,0.04606222339,2666305.5,123995.0874228791,2014,492,94339.58082191779,191.74711549170289,112.25458741721059,556.7178082191782,34.96712328767123,95.50616438356165,166.527397260274,269.81164383561645,2014
2015-03-31,xochimilco,CDMX,0.04606222339,2869792.9,124855.59366713926,2015,492,99711.18356164383,202.6650072391135,119.73672437975418,595.8082191780821,38.320547945205476,99.75479452054796,174.9835616438356,286.3246575342466,2015
2015-09-30,xochimilco,CDMX,0.04606222339,2751624.2,126188.15248603365,2015,492,109571.6356164384,222.7065764561755,137.59668141218714,672.0575342465752,37.36438356164383,100.92123287671234,191.70410958904114,326.20684931506844,2015
2015-12-31,xochimilco,CDMX,0.04606222339,2705692.6,126952.88500386573,2015,492,103685.79178082192,210.74347922931284,122.98490683670151,616.6136986301368,40.164383561643824,102.70273972602739,184.17534246575343,303.4883561643835,2015
2016-03-31,xochimilco,CDMX,0.04606222339,2957233.6,127362.57220691883,2016,492,102041.76438356163,207.40196012919031,118.60096125851753,607.9808219178083,41.35068493150685,103.96849315068494,182.2602739726027,295.95684931506844,2016
2016-06-30,xochimilco,CDMX,0.04606222339,2632606.6,128212.582022024,2016,492,109455.31232876712,222.47014700968924,136.8094085789246,684.6821917808219,36.361643835616434,100.97328767123285,193.99863013698632,326.236301369863,2016
